Ant;Eye;Trial;Gain;Order;Repetition;Mean angular speed;Mean angular velocity;blocked oscillation;fourrier;nb_osci;nb_block;Mean forward speed
13;RE;30;5;3;C2;119.42827035886069;-67.85653807707152;0.8108108108108109;0.1418238547723727;7;30;10.160955322046487
13;RE;30;0;4;C2;224.42348884269978;-163.42575566151532;0.8333333333333334;0.18100896526757385;6;30;10.874039022199465
13;RE;30;3;5;C2;123.13346953601031;-53.31190675382339;0.6666666666666666;0.16797688638043404;12;24;9.225468120551772
13;RE;30;1;6;C2;151.41924441773753;-14.768357769940257;0.6428571428571429;0.2560505866898225;10;18;10.939892269794665
14;2E;31;-1;1;C3;265.67503488208496;148.32408401864552;0.4782608695652174;0.22126691111392086;24;22;4.839040613632952
14;2E;31;0;2;C3;212.59029710687773;113.01640440386042;0.4594594594594595;0.30543011104566176;20;17;8.080818517345246
14;2E;31;B;3;C3;132.3572270856801;2.4000742653023197;0.2857142857142857;0.33545790003354575;30;12;6.985420677228292
14;2E;31;1;4;C3;152.14123598639424;-24.43751357616519;0.45454545454545453;0.23901567111443653;24;20;7.504680431658232
14;2E;31;5;5;C3;118.60589443237923;-32.21366129149032;0.2692307692307692;0.31148489298269033;38;14;8.353562965306782
14;2E;31;3;6;C3;127.9400312648023;-22.522892729653748;0.25;0.5106005106005106;39;13;8.440569595869416
14;LE;32;-1;1;C2;193.3484416256143;77.32292006768594;0.631578947368421;0.2527083745357857;14;24;6.50751693880759
14;LE;32;0;2;C2;144.77364572798027;58.37307251356806;0.6136363636363636;0.2309011742974007;17;27;5.947329840936996
14;LE;32;B;3;C2;126.44248286288477;-4.968237012832004;0.375;0.24154589371980675;25;15;5.963285407195278
14;LE;32;1;4;C2;128.66761338950252;8.580133756514943;0.4583333333333333;0.27586792292674645;26;22;4.692127719285934
14;LE;32;5;5;C2;104.02647807445248;12.13533102336867;0.4782608695652174;0.27652955409609403;24;22;4.31411061669257
14;LE;32;3;6;C2;114.62865345839889;7.467178503924106;0.52;0.22890778286461738;24;26;4.7225447388963255
14;RE;33;-1;1;C1;188.03510241178702;21.891579872225922;0.40625;0.298606502986065;19;13;7.836043991230895
14;RE;33;0;2;C1;129.61046414215835;-39.48757878006582;0.34375;0.24013722126929674;21;11;8.007533149761725
14;RE;33;B;3;C1;92.31399624375034;-4.870644134544862;0.45;0.2496878901373283;22;18;6.398531080888416
14;RE;33;1;4;C1;90.61393007897581;-1.0508990997970873;0.55;0.2283706631532718;27;33;5.280093076809421
14;RE;33;5;5;C1;69.95715183623574;5.354058069870221;0.38461538461538464;0.3194888178913738;32;20;4.8370872121784325
14;RE;33;3;6;C1;80.70495198523798;-19.450861064532237;0.375;0.3263131901083007;35;21;5.906428155600537
15;LE;34;0;1;C1;87.99712512236857;33.68384697491055;0.2727272727272727;0.25268122859228476;32;12;7.2073082671606485
15;LE;34;1;2;C1;80.43531596829838;9.263988145939052;0.375;0.26392187912377935;25;15;6.2838317458222495
15;LE;34;-1;3;C1;98.26662918245138;18.99394618262729;0.4782608695652174;0.19923096846173768;24;22;5.127948789064734
15;LE;34;3;4;C1;90.54275170957358;27.104879891437225;0.2222222222222222;0.3125217028960344;28;8;6.0663279430988455
15;LE;34;B;5;C1;84.47651634429249;5.186481404886766;0.2857142857142857;0.2908509207249459;30;12;5.745506048101067
15;LE;34;5;6;C1;76.36435775797219;14.747629235703316;0.3684210526315789;0.34253613756251283;24;14;6.036158719791811
16;LE;35;1;1;C2;110.59011668913003;-9.657798774400748;0.2;0.2587118400035995;24;6;6.677740429260353
16;LE;35;0;2;C2;131.93748638081001;-28.554596837264228;0.3611111111111111;0.2445585717779408;23;13;5.9217485128104785
16;LE;35;3;3;C2;101.07108963177471;2.2189420292351896;0.4;0.3748125937031484;24;16;6.627366495002674
16;LE;35;-1;4;C2;169.46051269873053;-55.67002882855568;0.5454545454545454;0.23344227306076168;20;24;4.6942316574391745
16;LE;35;5;5;C2;91.7700605870472;-3.2386935604448963;0.20930232558139536;0.3579927137953545;34;9;5.960220482453898
16;LE;35;B;6;C2;104.46943478445826;3.7618815267513575;0.27906976744186046;0.33936199944105083;31;12;5.947758394224538
16;RE;36;1;1;C3;144.5874920349249;73.1259755035882;0.4722222222222222;0.27056277056277056;19;17;5.1493356623194755
16;RE;36;0;2;C3;149.68452238866942;31.670532561267727;0.3684210526315789;0.3339790261171598;24;14;5.355315727864967
16;RE;36;3;3;C3;131.31159754474723;15.461438878303209;0.5581395348837209;0.18527667984189725;19;24;4.832658548939333
16;RE;36;-1;4;C3;209.48258726574215;-43.6396212686501;0.4375;0.20398449717821443;18;14;5.116595033538342
16;RE;36;5;5;C3;122.69751812973306;-51.73632927104253;0.3235294117647059;0.30989220178409366;23;11;5.970018277630496
16;RE;36;B;6;C3;124.23362316311776;10.468282654621571;0.3;0.24233995026762759;28;12;7.05493132045576
17;2E;37;1;1;C2;120.69820885217099;-17.688823870423164;0.5853658536585366;0.1834585167918501;17;24;6.722471217536599
17;2E;37;3;2;C2;93.45554266263373;-23.784625771331093;0.6041666666666666;0.2768917242601453;19;29;6.084889759966629
17;2E;37;0;3;C2;169.4413864447215;-66.71439294586312;0.660377358490566;0.21210276840222062;18;35;5.494487981684168
17;2E;37;5;4;C2;91.42083026029677;-44.429354954664284;0.5;0.25967574402745786;21;21;7.997213950966125
17;2E;37;-1;5;C2;308.9749669517627;-152.5494307994435;0.5357142857142857;0.25750930356193513;26;30;4.58458369381449
17;2E;37;B;6;C2;138.5758665704908;-56.47327859572965;0.30952380952380953;0.26541115650026537;29;13;7.3397161702013065
17;LE;38;1;1;C3;117.08197959997456;-55.50496752306538;0.3181818181818182;0.43538836642284917;30;14;9.926307083812931
17;LE;38;3;2;C3;74.91037151750504;1.2689360752945622;0.1875;0.5343664417874557;39;9;7.340380541541179
17;LE;38;0;3;C3;86.13140620353717;-10.60489776139378;0.4;0.35590807402887936;30;20;5.152302910616328
17;LE;38;5;4;C3;67.8728846838367;28.356926187888025;0.34;0.38131126214027766;33;17;4.35159239874043
17;LE;38;-1;5;C3;92.92565993272639;-50.078845395185446;0.4772727272727273;0.45377072404099433;23;21;4.8241320693567875
17;LE;38;B;6;C3;89.56638153530015;-46.604356237763945;0.3392857142857143;0.3405816085931359;37;19;4.744186256442696
17;RE;39;1;1;C1;164.15423581892964;-93.73132085038559;0.4411764705882353;0.19617346350019615;19;15;17.07034872686947
17;RE;39;3;2;C1;124.37614563058274;-21.933378963146836;0.14583333333333334;0.5475105032627156;41;7;11.623300804435155
17;RE;39;0;3;C1;155.309036941477;-63.53943297267962;0.4;0.1893939393939394;21;14;8.095003875091317
17;RE;39;5;4;C1;101.93815323003892;-4.535126680414975;0.2978723404255319;0.3720238095238095;33;14;6.877982528017342
17;RE;39;-1;5;C1;184.44152388828172;-18.9850137995778;0.46875;0.19301293186643503;17;15;7.136112258403404
17;RE;39;B;6;C1;128.28506767992218;-19.209702017408745;0.275;0.296880632779863;29;11;9.354390396476214
18;2E;40;3;1;C3;124.36056966861165;34.508361922247154;0.35294117647058826;0.1878743673054395;22;12;8.45126687025934
18;2E;40;5;2;C3;93.67266849473461;11.051793108022757;0.15;0.36928424025198214;34;6;4.457886388667459
18;2E;40;1;3;C3;134.09596531565134;20.776723931982406;0.20689655172413793;0.24402147388970227;23;6;5.797639862439715
18;2E;40;B;4;C3;146.94752484750063;66.53513923636665;0.2903225806451613;0.2646552864893476;22;9;7.949805947677553
